#key	name	year	genre	developer	players
Pachi-Slot Aruze Oukoku Pocket - Ohanabi (Japan)	Pachi Slot Aruze Oukoku Pocket : Oohanabi	2000	Casino / Slot machine/Casino	Aruze	1
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v03)	Pachisuro Aruze Oogoku Pocket Ward Of Lights	2000	Casino / Slot machine/Casino	Aruze	1
Pachinko Hisshou Guide - Pocket Parlor (Japan)	Pachinko Hissyou Guide Pocket Parlor	1999	Casino	Vistec	1
Party Mail (Japan)	Party Mail	1999	Action / Adventure/Action	ADK	1
Picture Puzzle (Europe)	Picture Puzzle	2000	Puzzle	Success	1
Pocket Love - if (Japan)	Pocket Love - If	1999	Simulation	Kindle Imagine Develop	1
Pocket Reversi (Europe) (vA1)	Pocket Reversi	2000	Puzzle	Success	1
Pocket Tennis Color - Pocket Sports Series (World) (En,Ja)	Pocket Tennis Color : Pocket Sports Series	1999	Sports / Tennis/Sports	Yumekobo	1
PP-AA01 - Pusher - Program - Hontai Controller Gawa (Japan)	Prize Game - Pp-aa01 Pusher Program		Various / Utilities/Various		
Puyo Pop (USA) (En,Ja) (v06)	Puyo Pop	1999	Puzzle / Fall/Puzzle	Compile	1
Puzzle Link (USA, Europe)	Puzzle Link	1999	Puzzle / Throw/Puzzle	Yumekobo	1
Puzzle Link 2 (USA, Europe)	Puzzle Link 2	1999	Puzzle	Yumekobo	1
Rockman - Battle & Fighters (Japan)	RockMan Battle & Fighters	2000	Fighting	Capcom	1
Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja)	Samurai Shodown! 2 - Pocket Fighting Series	1999	Fighting / Versus/Fighting	SNK	1-2
Shanghai Mini (World) (En,Ja)	Shanghai Mini	1999	Strategy	SNK	1-2
Shougi no Tatsujin Color (Japan)	Shougi no Tatsujin Color	1999	Shougi/Asiatic board game	ADK	1-2
SNK Gals' Fighters (USA, Europe)	SNK Gals Fighters	2000	Fighting	Yumekobo	1-2
SNK vs. Capcom - Card Fighters 2 - Expand Edition (Japan)	SNK vs. Capcom : Card Fighters 2 Expand Edition	2001	Playing cards	SNK	1-2
SNK vs. Capcom - Card Fighters' Clash - Capcom Version (USA, Europe)	SNK vs. Capcom : Card Fighters Clash - Capcom Version	1999	Role Playing Game/Strategy	SNK	1-2
SNK vs. Capcom - Card Fighters' Clash - SNK Version (USA, Europe)	SNK vs. Capcom - Card Fighters Clash - SNK Version	1999	Role Playing Game/Strategy	SNK	1-2
SNK vs. Capcom - Gekitotsu Card Fighters (Japan) (Demo)	SNK vs. Capcom : Card Fighters Clash - Capcom Version	1999	Role Playing Game/Strategy	SNK	1-2
SNK vs. Capcom - The Match of the Millennium (World) (En,Ja)	SNK vs. Capcom - The Match of the Millennium	1999	Fighting	SNK	1-2
Sonic The Hedgehog - Pocket Adventure (World) (En,Ja)	Sonic the Hedgehog - Pocket Adventure	1999	Platform	SNK	1-2
Soreike!! Hanafuda Doujou (Japan)	Soreike!! Hanafuda Doujou	1999	Hanafuda/Asiatic board game	Dyna	1-2
Super Real Mahjong - Premium Collection (Japan)	Super Real Mahjong - Premium Collection	2001	Adults/Mahjong/Asiatic board game	SETA	1
