#key	synopsis
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	Baseball Stars est un jeu de sport sur le baseball. Le jeu est similaire à Baseball Stars sur NES mais avec des personnages moins réalistes et son propre gameplay. Vous gérez votre propre équipe de baseball et jouez une série de matchs. Le jeu a les règles de baseball typiques - un joueur lance la balle, le deuxième la frappe, quelqu'un d'autre la saisit, etc... Chaque personnage a ses propres statistiques, comme l'endurance.
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	SNK transporte pour la première fois la série KOF sur un console portable... et quel meilleur système que la Neo Geo pocket pour le faire? 14 des personnages de KOF parmis les plus connus font leur apparition dans KOF: R-1, avec quelques arrière-plans reconnaissables et des fonctionnalités de jeu basées sur The King of Fighters '97. Les joueurs peuvent choisir entre les modes de jeu &quot;Extra&quot; et &quot;Advance&quot;, similaires à ceux de KOF '97, et la plupart des personnages sont jouables comme dans la version originale.
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	SNK transporte pour la première fois la série KOF sur un console portable... et quel meilleur système que la Neo Geo pocket pour le faire? 14 des personnages de KOF parmis les plus connus font leur apparition dans KOF: R-1, avec quelques arrière-plans reconnaissables et des fonctionnalités de jeu basées sur The King of Fighters '97. Les joueurs peuvent choisir entre les modes de jeu &quot;Extra&quot; et &quot;Advance&quot;, similaires à ceux de KOF '97, et la plupart des personnages sont jouables comme dans la version originale.
Melon-chan no Seichou Nikki (Japan)	Melon-chan no Seichouki est un jeu de simulation de vie comparable à Tamagotchi et à d'autres jeux de simulations de vie virtuelle. Dans ce jeu, le joueur élève et nourrit la petite fille Melon Chan. Le jeu est sorti seulement au Japon et était l'un des premiers titres à sortir sur la Neo Geo Pocket. Le jeu est sorti pour la première fois sur la Neo Geo pocket et comporte des graphiques monochromes, cependant, la Neo Geo Pocket Color est rétrocompatible avec le jeu.
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	Neo Cherry master est un jeu de casino dans lequel le joueur insère des jetons virtuels... Intérêt limité.
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	Dans le mode story vous choisissez une équipe parmi les meilleures au monde avec l'objectif de remporter la fameuse Neo Geo Cup. Cela n'est toutefois pas de tout repos et remporter le titre demandera de longues heures de match intense. Chaque rencontre vous donnera droit a un certain nombre de points qui pourront ensuite êtres utilisés dans la boutique, ce qui ajoute un petit côté RPG non négligeable. Acheter des shorts, crampons, maillots et plein d'autre objets parmi une sélection donnée augmenteront les capacités de votre équipe selon plusieurs critères et rendra vos joueurs plus rapides ou adroits devant le but. Le jeu est également disponible sur Neo Geo Pocket.
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	Pocket Tennis un jeu de tennis basique avec deux modes de jeu: Exposition et tournoi. Exposition est un match unique contre l'ordinateur ou un autre adversaire (nécessite un câble de liaison). Il existe huit personnages avec des compétences différentes et quatre différents terrains (cinq dans la version en couleur). La durée des matchs peut également être sélectionnée (1, 3 ou 5). Le tournoi se joue seulement contre l'ordinateur. Le joueur peut choisir son personnage mais pas son adversaire. Trois matchs seront disputés: quart de finale, demi-finales et bien sûr la finale.
Renketsu Puzzle Tsunagete Pon! (Japan)	Renketsu Puzzle Tsunagete Pon! est un jeu où les blocs doivent être dissous. Les nouveaux blocs défilent constamment dans l'écran par le haut. La partie se termine lorsque les premiers blocs atteignent le bas de l'écran.
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	Samouraï Shodown! Pocket est essentiellement une version &quot;portable&quot; de Samurai Shodown 4. Tout comme les autres jeux de combat sur la Neo Geo Pocket, les personnages sont dessinés en style chibi Super Déformé (grosses têtes et corps minuscules). Ce titre était aussi l'un des premiers jeux pour la Neo Geo Pocket, alors le jeu n'était qu'en noir et blanc... Le gameplay de Samurai Shodown est assez bien adapté dans la version de poche, mais il n'est pas aussi agréable que le classique de la Neo Geo. Le gameplay est très simplifié dans cette version. Les personnages conservent la plupart de leurs coups spéciaux et de leurs mouvements, mais les stratégies profondes propres à l'arcade ont quasiment disparues. C'est fondamentalement un nouveau jeu qui même s'il n'est en rien spectaculaire, est amusant.
Shougi no Tatsujin (Japan)	Le Shogi est l'équivalent japonais du jeu d'échecs. En effet, comme dans le jeu d'échecs, le but du jeu est de mater le roi adverse ! Néanmoins, il y a plusieurs différences entre le Shogi et notre jeu d'échecs, que ce soit au niveau de la nature pièces, de leurs positions ou de leurs déplacements.
