#key	name	year	genre	developer	players
2020 Super Baseball (Japan) (En,Ja)	2020 Super Baseball	1995	Sports / Baseball/Sports	Pallas	1-2
ADK World (Japan)	ADK World	1995	Shoot'em Up / Horizontal/Shoot'em Up	ADK	1-2
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	Art of Fighting 3 : The Path of the Warrior	1996	Fighting / Versus/Fighting	SNK	1-2
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	Alpha Mission II	1994	Shoot'em Up / Vertical/Shoot'em Up	SNK	1-2
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	The Last Blade	1998	Fighting / Versus/Fighting	SNK	1-2
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	The Last Blade 2: Heart of the Samurai	1999	Fighting / Versus/Fighting	SNK	1-2
Baseball Stars 2 (Japan) (En,Ja)	Baseball Stars 2	1994	Sports / Baseball/Sports	SNK	1-2
Baseball Stars Professional (Japan) (En,Ja)	Baseball Stars Professional	1995	Sports / Baseball/Simulation/Sports	SNK	1-2
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	Neo Turf Masters	1996	Sports / Golf/Sports	Nazca	1-2
Breakers (Japan) (En,Ja)	Breakers	1997	Fighting / 2D/Fighting	Visco	1-2
Burning Fight (Japan) (En,Ja)	Burning Fight	1994	Beat'em Up	SNK	1-2
Choujin Gakuen - Gowcaizer ~ Voltage Fighter - Gowcaizer (World) (En,Ja)	Voltage Fighter Gowcaizer	1995	Fighting / Versus/Fighting	Technos Japan	1-2
Choutetsu Brikin'ger ~ Ironclad - Tesshou Rusha (Japan) (En,Ja)	Ironclad	1996	Shoot'em Up	Saurus	1-2
Crossed Swords (Japan)	Crossed Swords	1994	Role Playing Game	ADK	1-2
Crossed Swords II (Japan) (En,Ja)	Crossed Swords II	1995	Role Playing Game	ADK	1-2
Cyber-Lip (Japan) (En,Ja)	Cyber-lip	1995	Shooter / Run and Gun/Shooter/Platform	SNK	1-2
Double Dragon (Export) (En,Ja)	Double Dragon	1995	Fighting / Versus/Fighting	Technos Japan	1-2
Dunk Dream ~ Street Slam ~ Street Hoop (World)	Street Slam	1995	Sports / Basketball/Sports	Data East	1-2
Far East of Eden - Tengai Makyou Shinden ~ Far East of Eden - Kabuki Klash (Japan) (En,Ja)	Far East of Eden : Kabuki Klash	1995	Fighting / Versus/Fighting	Racdym	1-2
Fighter's History Dynamite ~ Karnov's Revenge (World) (En,Ja)	Karnov's Revenge	1994	Fighting / Versus/Fighting	Data East	1-2
Fire Suplex ~ 3 Count Bout (World) (En,Ja)	3 Count Bout	1995	Sports / Wrestling/Fighting / 2D/Sports/Fighting	SNK	1-2
Flying Power Disc ~ Windjammers (Japan) (En,Ja)	Windjammers	1995	Sports	Data East	1-2
Football Frenzy (Japan) (En,Ja)	Football Frenzy	1994	Sports / Football (American)/Sports	SNK	1-2
Futsal - 5 on 5 Mini Soccer ~ PleasureGoal - 5 on 5 Mini Soccer (Japan) (En,Ja)	Futsal : 5 On 5 Mini Soccer	1996	Sports / Football (Soccer)/Sports	Saurus	1-2
Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt)	Savage Reign	1995	Fighting / Versus/Fighting	SNK	1-2
Galaxy Fight - Universal Warriors (Japan) (En,Ja,Es)	Galaxy Fight: Universal Warriors	1995	Fighting / Versus/Fighting	Sunsoft	1-2
Garou Densetsu - Shukumei no Tatakai ~ Fatal Fury - King of Fighters (Japan) (En,Ja)	Fatal Fury - Fight of Destiny	1994	Fighting / Versus/Fighting	SNK	1-2
Garou Densetsu 2 ~ Fatal Fury 2 (Japan) (En,Ja)	Fatal Fury 2	1994	Fighting / Versus/Fighting	SNK	1-2
Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Japan) (En,Ja,Es,Pt)	Fatal Fury 3 : Road to the Final Victory	1995	Fighting / Versus/Fighting	SNK	1-2
Garou Densetsu Special ~ Fatal Fury Special (Japan) (En,Ja)	Fatal Fury Special	1994	Fighting / Versus/Fighting	SNK	1-2
Ghost Pilots (World)	Ghost Pilots	1995	Shoot'em Up / Vertical/Shoot'em Up	SNK	1-2
Idol Mahjong - Final Romance 2 (Japan)	Idol Mahjong Final Romance 2	1995	Mahjong/Asiatic board game	Video System	1
Janshin Densetsu - Quest of Jongmaster (Japan)	Janshin Densetsu - Quest Of Jongmaster -	1994	Mahjong/Asiatic board game	Aicom Corporation	1
Joy Joy Kid ~ Puzzled (World) (En,Ja)	Puzzled	1994	Puzzle / Fall/Thinking/Puzzle	SNK	1-2
King of Fighters '94, The (World) (En,Ja)	The King of Fighters '94	1994	Fighting / Versus/Fighting	SNK	1-2
King of Fighters '95, The (World) (En,Ja)	The King of Fighters '95	1995	Fighting / Versus/Fighting	SNK	1-2
